transaction_id,time,amount,customer_id,is_abnormal,reason,transaction_count_last_1_days,rolling_history
1,2024-12-02 00:00:00,7742,15741,1,Số tiền giao dịch lớn.,1,"[[7742, ""2024-12-02 00:00:00""]]"
2,2024-12-02 01:00:00,6692,13104,0,,5,"[[6692, ""2024-12-02 01:00:00""], [1281, ""2024-12-02 04:00:00""], [4745, ""2024-12-02 16:00:00""], [5743, ""2024-12-02 17:00:00""], [7286, ""2024-12-02 20:00:00""]]"
3,2024-12-02 02:00:00,5674,17031,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Nhiều giao dịch lớn (> 3000) vào ban khuya.,15,"[[8471, ""2024-12-02 01:00:00""], [1602, ""2024-12-02 02:00:00""], [5674, ""2024-12-02 02:00:00""], [165, ""2024-12-02 03:00:00""], [6422, ""2024-12-02 03:00:00""], [4081, ""2024-12-02 04:00:00""], [8601, ""2024-12-02 05:00:00""], [8429, ""2024-12-02 06:00:00""], [7845, ""2024-12-02 10:00:00""], [1604, ""2024-12-02 11:00:00""], [5221, ""2024-12-02 12:00:00""], [6349, ""2024-12-02 13:00:00""], [104, ""2024-12-02 15:00:00""], [3190, ""2024-12-02 15:00:00""], [251, ""2024-12-02 21:00:00""]]"
4,2024-12-02 03:00:00,1990,17249,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Nhiều giao dịch lớn (> 3000) vào ban khuya.,15,"[[4385, ""2024-12-02 01:00:00""], [1990, ""2024-12-02 03:00:00""], [6092, ""2024-12-02 04:00:00""], [9267, ""2024-12-02 05:00:00""], [9290, ""2024-12-02 09:00:00""], [6408, ""2024-12-02 10:00:00""], [2254, ""2024-12-02 12:00:00""], [9518, ""2024-12-02 13:00:00""], [2288, ""2024-12-02 13:00:00""], [7604, ""2024-12-02 15:00:00""], [3202, ""2024-12-02 17:00:00""], [4357, ""2024-12-02 18:00:00""], [5381, ""2024-12-02 19:00:00""], [4705, ""2024-12-02 22:00:00""], [7161, ""2024-12-02 23:00:00""]]"
5,2024-12-02 04:00:00,7652,12805,1,Số giao dịch trong 1 ngày quá nhiều. Số tiền giao dịch lớn.3 giao dịch liên tiếp số tiền lớn hơn 3000. Nhiều giao dịch lớn (> 3000) vào ban khuya. Liên tục 9 giao dịch trong thời gian ngắn.,20,"[[1157, ""2024-12-02 03:00:00""], [4495, ""2024-12-02 04:00:00""], [5740, ""2024-12-02 04:00:00""], [7652, ""2024-12-02 04:00:00""], [8800, ""2024-12-02 05:00:00""], [8690, ""2024-12-02 05:00:00""], [9948, ""2024-12-02 08:00:00""], [6110, ""2024-12-02 10:00:00""], [9530, ""2024-12-02 10:00:00""], [8411, ""2024-12-02 12:00:00""], [6659, ""2024-12-02 13:00:00""], [4583, ""2024-12-02 15:00:00""], [840, ""2024-12-02 15:00:00""], [8906, ""2024-12-02 16:00:00""], [3728, ""2024-12-02 17:00:00""], [1801, ""2024-12-02 17:00:00""], [9383, ""2024-12-02 17:00:00""], [9053, ""2024-12-02 18:00:00""], [7261, ""2024-12-02 20:00:00""], [1442, ""2024-12-02 20:00:00""]]"
6,2024-12-02 05:00:00,4833,13346,0,,1,"[[4833, ""2024-12-02 05:00:00""]]"
7,2024-12-02 06:00:00,277,12579,1,Số giao dịch trong 1 ngày quá nhiều.3 giao dịch liên tiếp số tiền lớn hơn 3000. Liên tục 9 giao dịch trong thời gian ngắn.,20,"[[5342, ""2024-12-02 01:00:00""], [6639, ""2024-12-02 01:00:00""], [1697, ""2024-12-02 02:00:00""], [277, ""2024-12-02 06:00:00""], [5294, ""2024-12-02 09:00:00""], [6091, ""2024-12-02 09:00:00""], [4297, ""2024-12-02 09:00:00""], [4266, ""2024-12-02 11:00:00""], [6067, ""2024-12-02 13:00:00""], [7269, ""2024-12-02 13:00:00""], [3631, ""2024-12-02 15:00:00""], [626, ""2024-12-02 15:00:00""], [1346, ""2024-12-02 17:00:00""], [1488, ""2024-12-02 18:00:00""], [8501, ""2024-12-02 19:00:00""], [2494, ""2024-12-02 19:00:00""], [3491, ""2024-12-02 19:00:00""], [581, ""2024-12-02 19:00:00""], [4921, ""2024-12-02 20:00:00""], [4910, ""2024-12-02 22:00:00""]]"
8,2024-12-02 07:00:00,3718,17123,1,3 giao dịch liên tiếp số tiền lớn hơn 3000.,10,"[[3131, ""2024-12-02 01:00:00""], [4193, ""2024-12-02 01:00:00""], [8225, ""2024-12-02 06:00:00""], [1258, ""2024-12-02 07:00:00""], [3718, ""2024-12-02 07:00:00""], [1297, ""2024-12-02 12:00:00""], [7320, ""2024-12-02 20:00:00""], [4880, ""2024-12-02 21:00:00""], [6339, ""2024-12-02 23:00:00""], [1450, ""2024-12-02 23:00:00""]]"
9,2024-12-02 08:00:00,5449,10772,0,,1,"[[5449, ""2024-12-02 08:00:00""]]"
10,2024-12-02 09:00:00,5435,16207,0,,1,"[[5435, ""2024-12-02 09:00:00""]]"
